"taxa","family","genus","lme","rank","survey"
"Serranus scriba","Serranidae","Serranus","24","Species","EVHOE"
"Hippocampus guttulatus","Syngnathidae","Hippocampus","24","Species","EVHOE"
"Trigla lyra","Triglidae","Trigla","24","Species","EVHOE"
"Entelurus aequoreus","Syngnathidae","Entelurus","24","Species","EVHOE"
"Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus","25","Species","EVHOE"
"Mullus surmuletus","Mullidae","Mullus","25","Species","EVHOE"
"Beryx splendens","Berycidae","Beryx","25","Species","EVHOE"
"Chimaera monstrosa","Chimaeridae","Chimaera","25","Species","EVHOE"
"Arctozenus risso","Paralepididae","Arctozenus","25","Species","EVHOE"
"Diplodus vulgaris","Sparidae","Diplodus","24","Species","EVHOE"
"Chlorophthalmus agassizi","Chlorophthalmidae","Chlorophthalmus","24","Species","EVHOE"
"Liparis","Liparidae","Liparis","24","Genus","EVHOE"
"Pomatoschistus norvegicus","Gobiidae","Pomatoschistus","24","Species","EVHOE"
"Myxine glutinosa","Myxinidae","Myxine","24","Species","EVHOE"
"Scomberesox saurus saurus","Scomberesocidae","Scomberesox","24","Subspecies","EVHOE"
"Gobiidae","Gobiidae",NA,"24","Family","EVHOE"
"Myctophum punctatum","Myctophidae","Myctophum","24","Species","EVHOE"
"Arctozenus risso","Paralepididae","Arctozenus","24","Species","EVHOE"
"Ammodytes marinus","Ammodytidae","Ammodytes","24","Species","EVHOE"
"Pomatoschistus lozanoi","Gobiidae","Pomatoschistus","24","Species","EVHOE"
"Scorpaena notata","Scorpaenidae","Scorpaena","24","Species","EVHOE"
"Blennius ocellaris","Blenniidae","Blennius","25","Species","EVHOE"
"Scymnodon ringens","Somniosidae","Scymnodon","25","Species","EVHOE"
"Chirolophis ascanii","Stichaeidae","Chirolophis","24","Species","EVHOE"
"Ammodytes tobianus","Ammodytidae","Ammodytes","25","Species","EVHOE"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","25","Species","EVHOE"
"Ceratoscopelus maderensis","Myctophidae","Ceratoscopelus","25","Species","EVHOE"
"Halargyreus johnsonii","Moridae","Halargyreus","25","Species","EVHOE"
"Cyttopsis rosea","Parazenidae","Cyttopsis","24","Species","EVHOE"
"Mola mola","Molidae","Mola","24","Species","EVHOE"
"Lampanyctus crocodilus","Myctophidae","Lampanyctus","25","Species","EVHOE"
"Mora moro","Moridae","Mora","25","Species","EVHOE"
"Synaphobranchus kaupii","Synaphobranchidae","Synaphobranchus","25","Species","EVHOE"
"Coelorinchus caelorhincus","Macrouridae","Coelorinchus","24","Species","EVHOE"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","25","Species","EVHOE"
"Myctophum punctatum","Myctophidae","Myctophum","25","Species","EVHOE"
"Stomias boa boa","Stomiidae","Stomias","25","Subspecies","EVHOE"
"Coelorinchus caelorhincus","Macrouridae","Coelorinchus","25","Species","EVHOE"
"Lepidopus caudatus","Trichiuridae","Lepidopus","25","Species","EVHOE"
"Ceratoscopelus maderensis","Myctophidae","Ceratoscopelus","24","Species","EVHOE"
"Macroparalepis affinis","Paralepididae","Macroparalepis","24","Species","EVHOE"
"Argyropelecus hemigymnus","Sternoptychidae","Argyropelecus","24","Species","EVHOE"
"Stomias boa boa","Stomiidae","Stomias","24","Subspecies","EVHOE"
"Trachyrincus scabrus","Macrouridae","Trachyrincus","24","Species","EVHOE"
"Myctophum","Myctophidae","Myctophum","24","Genus","EVHOE"
"Dalatias licha","Dalatiidae","Dalatias","25","Species","EVHOE"
"Hoplostethus mediterraneus mediterraneus","Trachichthyidae","Hoplostethus","25","Subspecies","EVHOE"
"Pomatoschistus","Gobiidae","Pomatoschistus","25","Genus","EVHOE"
"Pollachius pollachius","Gadidae","Pollachius","25","Species","EVHOE"
"Pagellus acarne","Sparidae","Pagellus","25","Species","EVHOE"
"Scorpaena notata","Scorpaenidae","Scorpaena","25","Species","EVHOE"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","25","Species","EVHOE"
"Raja montagui","Rajidae","Raja","25","Species","EVHOE"
"Chelidonichthys obscurus","Triglidae","Chelidonichthys","25","Species","EVHOE"
"Beryx decadactylus","Berycidae","Beryx","25","Species","EVHOE"
"Platichthys flesus","Pleuronectidae","Platichthys","24","Species","EVHOE"
"Myctophum","Myctophidae","Myctophum","25","Genus","EVHOE"
"Scomber japonicus","Scombridae","Scomber","24","Species","EVHOE"
"Scomber japonicus","Scombridae","Scomber","25","Species","EVHOE"
"Molva dypterygia","Lotidae","Molva","24","Species","EVHOE"
"Chlorophthalmus agassizi","Chlorophthalmidae","Chlorophthalmus","25","Species","EVHOE"
"Arnoglossus imperialis","Bothidae","Arnoglossus","25","Species","EVHOE"
"Scorpaena scrofa","Scorpaenidae","Scorpaena","25","Species","EVHOE"
"Umbrina canariensis","Sciaenidae","Umbrina","25","Species","EVHOE"
"Scomber colias","Scombridae","Scomber","24","Species","EVHOE"
"Polymetme thaeocoryla","Phosichthyidae","Polymetme","24","Species","EVHOE"
"Buenia jeffreysii","Gobiidae","Buenia","24","Species","EVHOE"
"Spratelloides lewisi","Clupeidae","Spratelloides","24","Species","EVHOE"
"Scymnodon ringens","Somniosidae","Scymnodon","24","Species","EVHOE"
"Deania profundorum","Centrophoridae","Deania","24","Species","EVHOE"
"Lestidiops jayakari jayakari","Paralepididae","Lestidiops","24","Subspecies","EVHOE"
"Benthosema glaciale","Myctophidae","Benthosema","24","Species","EVHOE"
"Nezumia aequalis","Macrouridae","Nezumia","25","Species","EVHOE"
"Etmopterus princeps","Etmopteridae","Etmopterus","25","Species","EVHOE"
"Deania profundorum","Centrophoridae","Deania","25","Species","EVHOE"
"Trachyrincus scabrus","Macrouridae","Trachyrincus","25","Species","EVHOE"
"Lestidiops jayakari jayakari","Paralepididae","Lestidiops","25","Subspecies","EVHOE"
"Benthosema glaciale","Myctophidae","Benthosema","25","Species","EVHOE"
"Polymetme thaeocoryla","Phosichthyidae","Polymetme","25","Species","EVHOE"
"Brama brama","Bramidae","Brama","25","Species","EVHOE"
"Scomber colias","Scombridae","Scomber","25","Species","EVHOE"
"Serranus cabrilla","Serranidae","Serranus","25","Species","EVHOE"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","25","Species","EVHOE"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","25","Species","EVHOE"
"Petromyzon marinus","Petromyzontidae","Petromyzon","24","Species","EVHOE"
"Microchirus","Soleidae","Microchirus","24","Genus","EVHOE"
"Dasyatis tortonesei","Dasyatidae","Dasyatis","24","Species","EVHOE"
"Symphodus melops","Labridae","Symphodus","24","Species","EVHOE"
"Engraulis albidus","Engraulidae","Engraulis","24","Species","EVHOE"
"Brama brama","Bramidae","Brama","24","Species","EVHOE"
"Pagellus bellottii","Sparidae","Pagellus","24","Species","EVHOE"
"Microstomus kitt","Pleuronectidae","Microstomus","24","Species","FR-CGFS"
"Scomber scombrus","Scombridae","Scomber","24","Species","FR-CGFS"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","24","Species","FR-CGFS"
"Chelon auratus","Mugilidae","Chelon","24","Species","FR-CGFS"
"Trachurus trachurus","Carangidae","Trachurus","24","Species","FR-CGFS"
"Sprattus sprattus","Clupeidae","Sprattus","24","Species","FR-CGFS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","24","Species","FR-CGFS"
"Limanda limanda","Pleuronectidae","Limanda","24","Species","FR-CGFS"
"Mullus surmuletus","Mullidae","Mullus","24","Species","FR-CGFS"
"Clupea harengus","Clupeidae","Clupea","24","Species","FR-CGFS"
"Trachurus trachurus","Carangidae","Trachurus","22","Species","FR-CGFS"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","22","Species","FR-CGFS"
"Mullus surmuletus","Mullidae","Mullus","22","Species","FR-CGFS"
"Microstomus kitt","Pleuronectidae","Microstomus","22","Species","FR-CGFS"
"Trisopterus minutus","Gadidae","Trisopterus","22","Species","FR-CGFS"
"Zeus faber","Zeidae","Zeus","22","Species","FR-CGFS"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","24","Species","FR-CGFS"
"Trisopterus minutus","Gadidae","Trisopterus","24","Species","FR-CGFS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","24","Species","FR-CGFS"
"Raja clavata","Rajidae","Raja","24","Species","FR-CGFS"
"Sardina pilchardus","Clupeidae","Sardina","24","Species","FR-CGFS"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","24","Species","FR-CGFS"
"Microchirus variegatus","Soleidae","Microchirus","24","Species","FR-CGFS"
"Gadus morhua","Gadidae","Gadus","24","Species","FR-CGFS"
"Galeorhinus galeus","Triakidae","Galeorhinus","24","Species","FR-CGFS"
"Mustelus","Triakidae","Mustelus","24","Genus","FR-CGFS"
"Zeus faber","Zeidae","Zeus","24","Species","FR-CGFS"
"Trisopterus luscus","Gadidae","Trisopterus","24","Species","FR-CGFS"
"Raja undulata","Rajidae","Raja","24","Species","FR-CGFS"
"Pollachius pollachius","Gadidae","Pollachius","24","Species","FR-CGFS"
"Dasyatis pastinaca","Dasyatidae","Dasyatis","24","Species","FR-CGFS"
"Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus","24","Species","FR-CGFS"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","24","Species","FR-CGFS"
"Engraulis encrasicolus","Engraulidae","Engraulis","24","Species","FR-CGFS"
"Belone belone","Belonidae","Belone","24","Species","FR-CGFS"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","24","Species","FR-CGFS"
"Raja brachyura","Rajidae","Raja","24","Species","FR-CGFS"
"Merlangius merlangus","Gadidae","Merlangius","24","Species","FR-CGFS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","24","Species","FR-CGFS"
"Conger conger","Congridae","Conger","24","Species","FR-CGFS"
"Labrus bergylta","Labridae","Labrus","24","Species","FR-CGFS"
"Trachinus draco","Trachinidae","Trachinus","24","Species","FR-CGFS"
"Galeorhinus galeus","Triakidae","Galeorhinus","22","Species","FR-CGFS"
"Eutrigla gurnardus","Triglidae","Eutrigla","24","Species","FR-CGFS"
"Solea solea","Soleidae","Solea","24","Species","FR-CGFS"
"Raja montagui","Rajidae","Raja","24","Species","FR-CGFS"
"Raja microocellata","Rajidae","Raja","24","Species","FR-CGFS"
"Leucoraja circularis","Rajidae","Leucoraja","24","Species","FR-CGFS"
"Merlangius merlangus","Gadidae","Merlangius","22","Species","FR-CGFS"
"Gadus morhua","Gadidae","Gadus","22","Species","FR-CGFS"
"Sardina pilchardus","Clupeidae","Sardina","22","Species","FR-CGFS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","22","Species","FR-CGFS"
"Scomber scombrus","Scombridae","Scomber","22","Species","FR-CGFS"
"Molva molva","Lotidae","Molva","24","Species","FR-CGFS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","22","Species","FR-CGFS"
"Limanda limanda","Pleuronectidae","Limanda","22","Species","FR-CGFS"
"Chelon auratus","Mugilidae","Chelon","22","Species","FR-CGFS"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","22","Species","FR-CGFS"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","24","Species","FR-CGFS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","22","Species","FR-CGFS"
"Balistes capriscus","Balistidae","Balistes","24","Species","FR-CGFS"
"Leucoraja naevus","Rajidae","Leucoraja","24","Species","FR-CGFS"
"Pegusa lascaris","Soleidae","Pegusa","24","Species","FR-CGFS"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","24","Species","FR-CGFS"
"Mustelus","Triakidae","Mustelus","22","Genus","FR-CGFS"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","22","Species","FR-CGFS"
"Trisopterus luscus","Gadidae","Trisopterus","22","Species","FR-CGFS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","22","Species","FR-CGFS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","24","Species","FR-CGFS"
"Clupea harengus","Clupeidae","Clupea","22","Species","FR-CGFS"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","24","Species","FR-CGFS"
"Pagellus bogaraveo","Sparidae","Pagellus","24","Species","FR-CGFS"
"Chelon","Mugilidae","Chelon","24","Genus","FR-CGFS"
"Lophius piscatorius","Lophiidae","Lophius","24","Species","FR-CGFS"
"Ciliata","Lotidae","Ciliata","24","Genus","FR-CGFS"
"Platichthys flesus","Pleuronectidae","Platichthys","24","Species","FR-CGFS"
"Ammodytes tobianus","Ammodytidae","Ammodytes","24","Species","FR-CGFS"
"Squalus acanthias","Squalidae","Squalus","24","Species","FR-CGFS"
"Micromesistius poutassou","Gadidae","Micromesistius","24","Species","FR-CGFS"
"Arnoglossus laterna","Bothidae","Arnoglossus","24","Species","FR-CGFS"
"Raja clavata","Rajidae","Raja","22","Species","FR-CGFS"
"Solea solea","Soleidae","Solea","22","Species","FR-CGFS"
"Lepadogaster","Gobiesocidae","Lepadogaster","24","Genus","FR-CGFS"
"Sparus aurata","Sparidae","Sparus","24","Species","FR-CGFS"
"Engraulis encrasicolus","Engraulidae","Engraulis","22","Species","FR-CGFS"
"Raja undulata","Rajidae","Raja","22","Species","FR-CGFS"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","22","Species","FR-CGFS"
"Alosa","Clupeidae","Alosa","24","Genus","FR-CGFS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","24","Species","FR-CGFS"
"Callionymus lyra","Callionymidae","Callionymus","24","Species","FR-CGFS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","24","Species","FR-CGFS"
"Chelon labrosus","Mugilidae","Chelon","24","Species","FR-CGFS"
"Callionymus lyra","Callionymidae","Callionymus","22","Species","FR-CGFS"
"Syngnathus","Syngnathidae","Syngnathus","24","Genus","FR-CGFS"
"Blennius ocellaris","Blenniidae","Blennius","24","Species","FR-CGFS"
"Echiichthys vipera","Trachinidae","Echiichthys","24","Species","FR-CGFS"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","24","Species","IE-IGFS"
"Trachurus trachurus","Carangidae","Trachurus","24","Species","IE-IGFS"
"Merluccius merluccius","Merlucciidae","Merluccius","24","Species","IE-IGFS"
"Leucoraja naevus","Rajidae","Leucoraja","24","Species","IE-IGFS"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","24","Species","IE-IGFS"
"Clupea harengus","Clupeidae","Clupea","24","Species","IE-IGFS"
"Eutrigla gurnardus","Triglidae","Eutrigla","24","Species","IE-IGFS"
"Microstomus kitt","Pleuronectidae","Microstomus","24","Species","IE-IGFS"
"Trisopterus minutus","Gadidae","Trisopterus","24","Species","IE-IGFS"
"Raja clavata","Rajidae","Raja","24","Species","IE-IGFS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","24","Species","IE-IGFS"
"Squalus acanthias","Squalidae","Squalus","24","Species","IE-IGFS"
"Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","24","Species","IE-IGFS"
"Zeus faber","Zeidae","Zeus","24","Species","IE-IGFS"
"Capros aper","Caproidae","Capros","24","Species","IE-IGFS"
"Helicolenus dactylopterus","Sebastidae","Helicolenus","24","Species","IE-IGFS"
"Merlangius merlangus","Gadidae","Merlangius","24","Species","IE-IGFS"
"Trisopterus esmarkii","Gadidae","Trisopterus","24","Species","IE-IGFS"
"Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","24","Species","IE-IGFS"
"Sprattus sprattus","Clupeidae","Sprattus","24","Species","IE-IGFS"
"Argentina","Argentinidae","Argentina","24","Genus","IE-IGFS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","24","Species","IE-IGFS"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","24","Species","IE-IGFS"
"Callionymus","Callionymidae","Callionymus","24","Genus","IE-IGFS"
"Limanda limanda","Pleuronectidae","Limanda","24","Species","IE-IGFS"
"Solea solea","Soleidae","Solea","24","Species","IE-IGFS"
"Callionymus lyra","Callionymidae","Callionymus","24","Species","IE-IGFS"
"Lophius piscatorius","Lophiidae","Lophius","24","Species","IE-IGFS"
"Scomber scombrus","Scombridae","Scomber","24","Species","IE-IGFS"
"Entelurus aequoreus","Syngnathidae","Entelurus","24","Species","IE-IGFS"
"Micromesistius poutassou","Gadidae","Micromesistius","24","Species","IE-IGFS"
"Conger conger","Congridae","Conger","24","Species","IE-IGFS"
"Gadiculus argenteus","Gadidae","Gadiculus","24","Species","IE-IGFS"
"Microchirus variegatus","Soleidae","Microchirus","24","Species","IE-IGFS"
"Buglossidium luteum","Soleidae","Buglossidium","24","Species","IE-IGFS"
"Pollachius virens","Gadidae","Pollachius","24","Species","IE-IGFS"
"Gadus morhua","Gadidae","Gadus","24","Species","IE-IGFS"
"Molva molva","Lotidae","Molva","24","Species","IE-IGFS"
"Galeus melastomus","Pentanchidae","Galeus","24","Species","IE-IGFS"
"Maurolicus muelleri","Sternoptychidae","Maurolicus","24","Species","IE-IGFS"
"Argentinidae","Argentinidae",NA,"24","Family","IE-IGFS"
"Galeorhinus galeus","Triakidae","Galeorhinus","24","Species","IE-IGFS"
"Hyperoplus immaculatus","Ammodytidae","Hyperoplus","24","Species","IE-IGFS"
"Lophius budegassa","Lophiidae","Lophius","24","Species","IE-IGFS"
"Phycis blennoides","Phycidae","Phycis","24","Species","IE-IGFS"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","24","Species","IE-IGFS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","24","Species","IE-IGFS"
"Raja montagui","Rajidae","Raja","24","Species","IE-IGFS"
"Dipturus","Rajidae","Dipturus","24","Genus","IE-IGFS"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","24","Species","IE-IGFS"
"Ammodytidae","Ammodytidae",NA,"24","Family","IE-IGFS"
"Labrus mixtus","Labridae","Labrus","24","Species","IE-IGFS"
"Pollachius pollachius","Gadidae","Pollachius","24","Species","IE-IGFS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","24","Species","IE-IGFS"
"Gaidropsarus vulgaris","Lotidae","Gaidropsarus","24","Species","IE-IGFS"
"Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus","24","Species","IE-IGFS"
"Cepola macrophthalma","Cepolidae","Cepola","24","Species","IE-IGFS"
"Agonus cataphractus","Agonidae","Agonus","24","Species","IE-IGFS"
"Mullus surmuletus","Mullidae","Mullus","24","Species","IE-IGFS"
"Ciliata","Lotidae","Ciliata","24","Genus","IE-IGFS"
"Gobius","Gobiidae","Gobius","24","Genus","IE-IGFS"
"Trisopterus luscus","Gadidae","Trisopterus","24","Species","IE-IGFS"
"Lepidorhombus boscii","Scophthalmidae","Lepidorhombus","24","Species","IE-IGFS"
"Macrouridae","Macrouridae",NA,"24","Family","IE-IGFS"
"Syngnathidae","Syngnathidae",NA,"24","Family","IE-IGFS"
"Arnoglossus imperialis","Bothidae","Arnoglossus","24","Species","IE-IGFS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","24","Species","IE-IGFS"
"Zeugopterus punctatus","Scophthalmidae","Zeugopterus","24","Species","IE-IGFS"
"Echiichthys vipera","Trachinidae","Echiichthys","24","Species","IE-IGFS"
"Mustelus","Triakidae","Mustelus","24","Genus","IE-IGFS"
"Liparis","Liparidae","Liparis","24","Genus","IE-IGFS"
"Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus","24","Species","IE-IGFS"
"Sardina pilchardus","Clupeidae","Sardina","24","Species","IE-IGFS"
"Engraulis encrasicolus","Engraulidae","Engraulis","24","Species","IE-IGFS"
"Pomatoschistus","Gobiidae","Pomatoschistus","24","Genus","IE-IGFS"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","24","Species","IE-IGFS"
"Arnoglossus laterna","Bothidae","Arnoglossus","24","Species","IE-IGFS"
"Arnoglossus thori","Bothidae","Arnoglossus","24","Species","IE-IGFS"
"Raja undulata","Rajidae","Raja","24","Species","IE-IGFS"
"Raja brachyura","Rajidae","Raja","24","Species","IE-IGFS"
"Scorpaenidae","Scorpaenidae",NA,"24","Family","IE-IGFS"
"Myctophidae","Myctophidae",NA,"24","Family","IE-IGFS"
"Ammodytes marinus","Ammodytidae","Ammodytes","24","Species","IE-IGFS"
"Trachinus draco","Trachinidae","Trachinus","24","Species","IE-IGFS"
"Pholis gunnellus","Pholidae","Pholis","24","Species","IE-IGFS"
"Acantholabrus palloni","Labridae","Acantholabrus","24","Species","IE-IGFS"
"Parablennius gattorugine","Blenniidae","Parablennius","24","Species","IE-IGFS"
"Taurulus bubalis","Cottidae","Taurulus","24","Species","IE-IGFS"
"Blennius ocellaris","Blenniidae","Blennius","24","Species","IE-IGFS"
"Leucoraja fullonica","Rajidae","Leucoraja","24","Species","IE-IGFS"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","24","Species","IE-IGFS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","24","Species","IE-IGFS"
"Echiodon drummondii","Carapidae","Echiodon","24","Species","IE-IGFS"
"Boops boops","Sparidae","Boops","24","Species","IE-IGFS"
"Mullus barbatus barbatus","Mullidae","Mullus","24","Subspecies","IE-IGFS"
"Raja microocellata","Rajidae","Raja","24","Species","IE-IGFS"
"Macroramphosus scolopax","Centriscidae","Macroramphosus","24","Species","IE-IGFS"
"Dipturus oxyrinchus","Rajidae","Dipturus","24","Species","IE-IGFS"
"Tetronarce nobiliana","Torpedinidae","Tetronarce","24","Species","IE-IGFS"
"Gaidropsarus","Lotidae","Gaidropsarus","24","Genus","IE-IGFS"
"Ammodytes","Ammodytidae","Ammodytes","24","Genus","IE-IGFS"
"Aphia minuta","Gobiidae","Aphia","24","Species","IE-IGFS"
"Cyclopterus lumpus","Cyclopteridae","Cyclopterus","24","Species","IE-IGFS"
"Lesueurigobius friesii","Gobiidae","Lesueurigobius","24","Species","IE-IGFS"
"Zoarcidae","Zoarcidae",NA,"24","Family","IE-IGFS"
"Belone belone","Belonidae","Belone","24","Species","IE-IGFS"
"Syngnathus","Syngnathidae","Syngnathus","24","Genus","IE-IGFS"
"Molva dypterygia","Lotidae","Molva","24","Species","IE-IGFS"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","24","Species","IE-IGFS"
"Alosa","Clupeidae","Alosa","24","Genus","IE-IGFS"
"Coryphaenoides rupestris","Macrouridae","Coryphaenoides","24","Species","IE-IGFS"
"Sparidae","Sparidae",NA,"24","Family","IE-IGFS"
"Pegusa lascaris","Soleidae","Pegusa","24","Species","IE-IGFS"
"Diplecogaster bimaculata bimaculata","Gobiesocidae","Diplecogaster","24","Subspecies","IE-IGFS"
"Galeus murinus","Pentanchidae","Galeus","24","Species","IE-IGFS"
"Petromyzon marinus","Petromyzontidae","Petromyzon","24","Species","IE-IGFS"
"Platichthys flesus","Pleuronectidae","Platichthys","24","Species","IE-IGFS"
"Amblyraja radiata","Rajidae","Amblyraja","24","Species","IE-IGFS"
"Labrus bergylta","Labridae","Labrus","24","Species","IE-IGFS"
"Micrenophrys lilljeborgii","Cottidae","Micrenophrys","24","Species","IE-IGFS"
"Cottidae","Cottidae",NA,"24","Family","IE-IGFS"
"Brosme brosme","Lotidae","Brosme","24","Species","IE-IGFS"
"Coelorinchus caelorhincus","Macrouridae","Coelorinchus","24","Species","IE-IGFS"
"Syngnathus","Syngnathidae","Nerophis","24","Genus","IE-IGFS"
"Trachyrincus scabrus","Macrouridae","Trachyrincus","24","Species","IE-IGFS"
"Pagellus acarne","Sparidae","Pagellus","24","Species","IE-IGFS"
"Hippoglossus hippoglossus","Pleuronectidae","Hippoglossus","24","Species","IE-IGFS"
"Brama brama","Bramidae","Brama","24","Species","IE-IGFS"
"Macrourus berglax","Macrouridae","Macrourus","24","Species","IE-IGFS"
"Chimaera monstrosa","Chimaeridae","Chimaera","24","Species","IE-IGFS"
"Lepidion eques","Moridae","Lepidion","24","Species","IE-IGFS"
"Synaphobranchus kaupii","Synaphobranchidae","Synaphobranchus","24","Species","IE-IGFS"
"Hexanchus griseus","Hexanchidae","Hexanchus","24","Species","IE-IGFS"
"Rostroraja alba","Rajidae","Rostroraja","24","Species","IE-IGFS"
"Lampanyctus","Myctophidae","Lampanyctus","24","Genus","IE-IGFS"
"Anguilla anguilla","Anguillidae","Anguilla","24","Species","IE-IGFS"
"Etmopterus spinax","Etmopteridae","Etmopterus","24","Species","IE-IGFS"
"Scomberesox saurus saurus","Scomberesocidae","Scomberesox","24","Subspecies","IE-IGFS"
"Malacocephalus laevis","Macrouridae","Malacocephalus","24","Species","IE-IGFS"
"Lampetra fluviatilis","Petromyzontidae","Lampetra","24","Species","IE-IGFS"
"Dasyatis pastinaca","Dasyatidae","Dasyatis","24","Species","IE-IGFS"
"Notacanthidae","Notacanthidae",NA,"24","Family","IE-IGFS"
"Argyropelecus olfersii","Sternoptychidae","Argyropelecus","24","Species","IE-IGFS"
"Beryx decadactylus","Berycidae","Beryx","24","Species","IE-IGFS"
"Centroscymnus coelolepis","Somniosidae","Centroscymnus","24","Species","IE-IGFS"
"Lampanyctus crocodilus","Myctophidae","Lampanyctus","24","Species","IE-IGFS"
"Labridae","Labridae",NA,"24","Family","IE-IGFS"
"Ammodytes tobianus","Ammodytidae","Ammodytes","24","Species","IE-IGFS"
"Epigonus telescopus","Epigonidae","Epigonus","24","Species","IE-IGFS"
"Notacanthus bonaparte","Notacanthidae","Notacanthus","24","Species","IE-IGFS"
"Callionymidae","Callionymidae",NA,"24","Family","IE-IGFS"
"Gaidropsarus mediterraneus","Lotidae","Gaidropsarus","24","Species","IE-IGFS"
"Centrolabrus exoletus","Labridae","Centrolabrus","24","Species","IE-IGFS"
"Triglops murrayi","Cottidae","Triglops","24","Species","IE-IGFS"
"Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus","24","Species","IE-IGFS"
"Trigla lyra","Triglidae","Trigla","24","Species","IE-IGFS"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","24","Species","IE-IGFS"
"Nezumia aequalis","Macrouridae","Nezumia","24","Species","IE-IGFS"
"Deania calcea","Centrophoridae","Deania","24","Species","IE-IGFS"
"Chauliodus sloani","Stomiidae","Chauliodus","24","Species","IE-IGFS"
"Aphanopus carbo","Trichiuridae","Aphanopus","24","Species","IE-IGFS"
"Centrolophus niger","Centrolophidae","Centrolophus","24","Species","IE-IGFS"
"Centrophorus squamosus","Centrophoridae","Centrophorus","24","Species","IE-IGFS"
"Halargyreus johnsonii","Moridae","Halargyreus","24","Species","IE-IGFS"
"Trachyrincus murrayi","Macrouridae","Trachyrincus","24","Species","IE-IGFS"
"Xenodermichthys copei","Alepocephalidae","Xenodermichthys","24","Species","IE-IGFS"
"Heptranchias perlo","Hexanchidae","Heptranchias","24","Species","IE-IGFS"
"Arctozenus risso","Paralepididae","Arctozenus","24","Species","IE-IGFS"
"Zeugopterus regius","Scophthalmidae","Zeugopterus","24","Species","IE-IGFS"
"Mullidae","Mullidae",NA,"24","Family","IE-IGFS"
"Lamna nasus","Lamnidae","Lamna","24","Species","IE-IGFS"
"Serranus scriba","Serranidae","Serranus","24","Species","IE-IGFS"
"Mullus","Mullidae","Mullus","24","Genus","IE-IGFS"
"Sebastes","Sebastidae","Sebastes","24","Genus","IE-IGFS"
"Coelorinchus labiatus","Macrouridae","Coelorinchus","24","Species","IE-IGFS"
"Balistes","Balistidae","Balistes","24","Genus","IE-IGFS"
"Centroscymnus crepidater","Somniosidae","Centroscymnus","24","Species","IE-IGFS"
"Hydrolagus mirabilis","Chimaeridae","Hydrolagus","24","Species","IE-IGFS"
"Polymetme corythaeola","Phosichthyidae","Polymetme","24","Species","IE-IGFS"
"Magnisudis atlantica","Paralepididae","Magnisudis","24","Species","IE-IGFS"
