"taxa","family","genus","lme","rank","survey"
"Gadiculus","Gadidae","Gadiculus","22","Genus","NS-IBTS"
"Gobius","Gobiidae","Gobius","22","Genus","NS-IBTS"
"Echiodon drummondii","Carapidae","Echiodon","22","Species","NS-IBTS"
"Diplecogaster bimaculata bimaculata","Gobiesocidae","Diplecogaster","22","Subspecies","NS-IBTS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","22","Species","NS-IBTS"
"Coryphaenoides rupestris","Macrouridae","Coryphaenoides","22","Species","NS-IBTS"
"Gaidropsarus mediterraneus","Lotidae","Gaidropsarus","22","Species","NS-IBTS"
"Salmo salar","Salmonidae","Salmo","22","Species","NS-IBTS"
"Soleidae","Soleidae",NA,"22","Family","NS-IBTS"
"Leptoclinus maculatus","Stichaeidae","Leptoclinus","22","Species","NS-IBTS"
"Capros aper","Caproidae","Capros","22","Species","NS-IBTS"
"Leucoraja circularis","Rajidae","Leucoraja","22","Species","NS-IBTS"
"Belone belone","Belonidae","Belone","22","Species","NS-IBTS"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","22","Species","NS-IBTS"
"Pagellus erythrinus","Sparidae","Pagellus","22","Species","NS-IBTS"
"Buglossidium","Soleidae","Buglossidium","22","Genus","NS-IBTS"
"Gymnammodytes semisquamatus","Ammodytidae","Gymnammodytes","22","Species","NS-IBTS"
"Lampetra fluviatilis","Petromyzontidae","Lampetra","22","Species","NS-IBTS"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","22","Species","NS-IBTS"
"Scorpaena scrofa","Scorpaenidae","Scorpaena","22","Species","NS-IBTS"
"Microchirus","Soleidae","Microchirus","22","Genus","NS-IBTS"
"Zeugopterus","Scophthalmidae","Zeugopterus","22","Genus","NS-IBTS"
"Mugilidae","Mugilidae",NA,"22","Family","NS-IBTS"
"Lepadogaster","Gobiesocidae","Lepadogaster","22","Genus","NS-IBTS"
"Syngnathus","Syngnathidae","Nerophis","22","Genus","NS-IBTS"
"Caproidae","Caproidae",NA,"22","Family","NS-IBTS"
"Chelon labrosus","Mugilidae","Chelon","22","Species","NS-IBTS"
"Galeus melastomus","Pentanchidae","Galeus","22","Species","NS-IBTS"
"Labrus bergylta","Labridae","Labrus","22","Species","NS-IBTS"
"Lophius budegassa","Lophiidae","Lophius","22","Species","NS-IBTS"
"Argentinidae","Argentinidae",NA,"22","Family","NS-IBTS"
"Dicentrarchus","Moronidae","Dicentrarchus","22","Genus","NS-IBTS"
"Chelon auratus","Mugilidae","Chelon","22","Species","NS-IBTS"
"Arnoglossus imperialis","Bothidae","Arnoglossus","22","Species","NS-IBTS"
"Trachyrincus murrayi","Macrouridae","Trachyrincus","22","Species","NS-IBTS"
"Hyperoplus immaculatus","Ammodytidae","Hyperoplus","22","Species","NS-IBTS"
"Blennius","Blenniidae","Blennius","22","Genus","NS-IBTS"
"Pegusa lascaris","Soleidae","Pegusa","22","Species","NS-IBTS"
"Lesueurigobius","Gobiidae","Lesueurigobius","22","Genus","NS-IBTS"
"Spinachia spinachia","Gasterosteidae","Spinachia","22","Species","NS-IBTS"
"Leucoraja lentiginosa","Rajidae","Leucoraja","22","Species","NS-IBTS"
"Arnoglossus","Bothidae","Arnoglossus","22","Genus","NS-IBTS"
"Hyperoplus","Ammodytidae","Hyperoplus","22","Genus","NS-IBTS"
"Lesueurigobius friesii","Gobiidae","Lesueurigobius","22","Species","NS-IBTS"
"Merlangius merlangus","Gadidae","Merlangius","24","Species","NS-IBTS"
"Sprattus sprattus","Clupeidae","Sprattus","24","Species","NS-IBTS"
"Platichthys flesus","Pleuronectidae","Platichthys","24","Species","NS-IBTS"
"Clupea harengus","Clupeidae","Clupea","24","Species","NS-IBTS"
"Gadus morhua","Gadidae","Gadus","24","Species","NS-IBTS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","24","Species","NS-IBTS"
"Pollachius virens","Gadidae","Pollachius","24","Species","NS-IBTS"
"Taurulus bubalis","Cottidae","Taurulus","24","Species","NS-IBTS"
"Dicentrarchus labrax","Moronidae","Dicentrarchus","24","Species","NS-IBTS"
"Microstomus kitt","Pleuronectidae","Microstomus","24","Species","NS-IBTS"
"Agonus cataphractus","Agonidae","Agonus","24","Species","NS-IBTS"
"Raja clavata","Rajidae","Raja","24","Species","NS-IBTS"
"Limanda limanda","Pleuronectidae","Limanda","24","Species","NS-IBTS"
"Artediellus atlanticus","Cottidae","Artediellus","22","Species","NS-IBTS"
"Symphodus melops","Labridae","Symphodus","22","Species","NS-IBTS"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","22","Species","NS-IBTS"
"Salmo","Salmonidae","Salmo","22","Genus","NS-IBTS"
"Micrenophrys lilljeborgii","Cottidae","Micrenophrys","22","Species","NS-IBTS"
"Zoarcidae","Zoarcidae",NA,"22","Family","NS-IBTS"
"Somniosus microcephalus","Somniosidae","Somniosus","22","Species","NS-IBTS"
"Leptagonus decagonus","Agonidae","Leptagonus","22","Species","NS-IBTS"
"Thunnus thynnus","Scombridae","Thunnus","22","Species","NS-IBTS"
"Petromyzon","Petromyzontidae","Petromyzon","22","Genus","NS-IBTS"
"Atherina presbyter","Atherinidae","Atherina","22","Species","NS-IBTS"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","22","Species","NS-IBTS"
"Sparus aurata","Sparidae","Sparus","22","Species","NS-IBTS"
"Mullus barbatus barbatus","Mullidae","Mullus","22","Subspecies","NS-IBTS"
"Mugil cephalus","Mugilidae","Mugil","22","Species","NS-IBTS"
"Platichthys flesus","Pleuronectidae","Platichthys","23","Species","NS-IBTS"
"Clupea harengus","Clupeidae","Clupea","23","Species","NS-IBTS"
"Microstomus kitt","Pleuronectidae","Microstomus","23","Species","NS-IBTS"
"Gadus morhua","Gadidae","Gadus","23","Species","NS-IBTS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","23","Species","NS-IBTS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","23","Species","NS-IBTS"
"Merlangius merlangus","Gadidae","Merlangius","23","Species","NS-IBTS"
"Amblyraja radiata","Rajidae","Amblyraja","23","Species","NS-IBTS"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","23","Species","NS-IBTS"
"Sprattus sprattus","Clupeidae","Sprattus","23","Species","NS-IBTS"
"Petromyzon marinus","Petromyzontidae","Petromyzon","23","Species","NS-IBTS"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","23","Species","NS-IBTS"
"Limanda limanda","Pleuronectidae","Limanda","23","Species","NS-IBTS"
"Cyclopterus lumpus","Cyclopteridae","Cyclopterus","23","Species","NS-IBTS"
"Scomber scombrus","Scombridae","Scomber","23","Species","NS-IBTS"
"Engraulis encrasicolus","Engraulidae","Engraulis","23","Species","NS-IBTS"
"Trachurus trachurus","Carangidae","Trachurus","23","Species","NS-IBTS"
"Anguilla anguilla","Anguillidae","Anguilla","23","Species","NS-IBTS"
"Sardina pilchardus","Clupeidae","Sardina","23","Species","NS-IBTS"
"Callionymus","Callionymidae","Callionymus","23","Genus","NS-IBTS"
"Eutrigla","Triglidae","Eutrigla","22","Genus","NS-IBTS"
"Echiichthys","Trachinidae","Echiichthys","22","Genus","NS-IBTS"
"Trigla","Triglidae","Trigla","22","Genus","NS-IBTS"
"Chelidonichthys","Triglidae","Chelidonichthys","22","Genus","NS-IBTS"
"Dipturus oxyrinchus","Rajidae","Dipturus","22","Species","NS-IBTS"
"Zeidae","Zeidae",NA,"22","Family","NS-IBTS"
"Lycodes gracilis","Zoarcidae","Lycodes","22","Species","NS-IBTS"
"Arctozenus risso","Paralepididae","Arctozenus","22","Species","NS-IBTS"
"Gobiesocidae","Gobiesocidae",NA,"22","Family","NS-IBTS"
"Gasterosteus aculeatus williamsoni","Gasterosteidae","Gasterosteus","22","Subspecies","NS-IBTS"
"Blenniidae","Blenniidae",NA,"22","Family","NS-IBTS"
"Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus","22","Species","NS-IBTS"
"Bathyraja brachyurops","Arhynchobatidae","Bathyraja","22","Species","NS-IBTS"
"Lepidorhombus boscii","Scophthalmidae","Lepidorhombus","22","Species","NS-IBTS"
"Chelon","Mugilidae","Chelon","22","Genus","NS-IBTS"
"Brama brama","Bramidae","Brama","22","Species","NS-IBTS"
"Pomatoschistus lozanoi","Gobiidae","Pomatoschistus","22","Species","NS-IBTS"
"Merluccius merluccius","Merlucciidae","Merluccius","23","Species","NS-IBTS"
