,taxa,family,genus,rank,Type,source,level_inferred,b,a
445,Hoplostethus cadenati,Trachichthyidae,Hoplostethus,Species,TL,fb-21.04,gen,3.084927273,0.017156364
67,Cottidae,Cottidae,NA,Family,TL,fb-21.04,fam,3.049993103,0.016891897
170,Artediellus atlanticus,Cottidae,Artediellus,Species,TL,fb-21.04,fam,3.049993103,0.016891897
174,Micrenophrys lilljeborgii,Cottidae,Micrenophrys,Species,TL,fb-21.04,fam,3.049993103,0.016891897
252,Gobius,Gobiidae,Neogobius,Genus,TL,fb-21.04,gen,3.068986957,0.016772609
255,Neogobius,Gobiidae,Neogobius,Genus,TL,fb-21.04,gen,3.068986957,0.016772609
386,Ephippion guttifer,Tetraodontidae,Ephippion,Species,TL,fb-21.04,spe,3,0.0164
312,Diplodus vulgaris,Sparidae,Diplodus,Species,TL,fb-21.04,spe,3.079715625,0.016315938
411,Uranoscopus scaber,Uranoscopidae,Uranoscopus,Species,TL,fb-21.04,spe,3.045355556,0.016276111
216,Pterycombus brama,Bramidae,Pterycombus,Species,TL,fb-21.04,fam,3.20756,0.01625
31,Merluccius merluccius,Merlucciidae,Merluccius,Species,TL,fb-21.04,spe,3.119484615,0.016085824
414,Argyropelecus aculeatus,Sternoptychidae,Argyropelecus,Species,TL,fb-21.04,spe,3,0.016
422,Dentex gibbosus,Sparidae,Dentex,Species,TL,fb-21.04,spe,3.008,0.015545
324,Scomber colias,Scombridae,Scomber,Species,TL,fb-21.04,spe,2.9255,0.01545
93,Taurulus bubalis,Cottidae,Taurulus,Species,TL,fb-21.04,spe,3,0.0154
424,Dentex canariensis,Sparidae,Dentex,Species,TL,fb-21.04,spe,2.98,0.0154
460,Diretmus argenteus,Diretmidae,Diretmus,Species,TL,fb-21.04,fam,3.0453,0.0153
141,Spondyliosoma cantharus,Sparidae,Spondyliosoma,Species,TL,fb-21.04,spe,3.074977778,0.015163333
469,Oxynotus paradoxus,Oxynotidae,Oxynotus,Species,TL,fb-21.04,gen,3,0.0151
281,Pagellus,Sparidae,Pagellus,Genus,TL,fb-21.04,gen,3.013055263,0.015021447
45,Scophthalmus rhombus,Scophthalmidae,Scophthalmus,Species,TL,fb-21.04,spe,3.012583333,0.014838889
421,Symphodus,Labridae,Symphodus,Genus,TL,fb-21.04,gen,3.107163265,0.014826735
242,Liparidae,Liparidae,NA,Family,TL,fb-21.04,fam,3.143652941,0.014826471
436,Paraliparis membranaceus,Liparidae,Paraliparis,Species,TL,fb-21.04,fam,3.143652941,0.014826471
462,Bellottia apoda,Bythitidae,Bellottia,Species,TL,fb-21.04,fam,2.919,0.0148
465,Cataetyx alleni,Bythitidae,Cataetyx,Species,TL,fb-21.04,fam,2.919,0.0148
345,Pagellus bellottii,Sparidae,Pagellus,Species,TL,fb-21.04,spe,2.98,0.0146775
417,Spicara smaris,Sparidae,Spicara,Species,TL,fb-21.04,spe,2.938056,0.01462
105,Zoarces viviparus,Zoarcidae,Zoarces,Species,TL,fb-21.04,spe,2.831775,0.014575
531,Valenciennellus tripunctulatus,Sternoptychidae,Valenciennellus,Species,TL,fb-21.04,fam,3.137625,0.01446625
384,Monochirus hispidus,Soleidae,Monochirus,Species,TL,fb-21.04,gen,3.16,0.01439
395,Diplodus annularis,Sparidae,Diplodus,Species,TL,fb-21.04,spe,3.12767013,0.014355844
176,Somniosus microcephalus,Somniosidae,Somniosus,Species,TL,fb-21.04,spe,3.1902,0.01435
416,Lepidotrigla cavillone,Triglidae,Lepidotrigla,Species,TL,fb-21.04,spe,3.015614286,0.014137143
132,Diplecogaster bimaculata,Gobiesocidae,Diplecogaster,Subspecies,TL,fb-21.04,spe,2.737,0.01413
206,Diplecogaster,Gobiesocidae,Diplecogaster,Genus,TL,fb-21.04,gen,2.737,0.01413
209,Sarpa salpa,Sparidae,Sarpa,Species,TL,fb-21.04,spe,3.041944444,0.014033889
101,Zeugopterus punctatus,Scophthalmidae,Zeugopterus,Species,TL,fb-21.04,spe,3.146,0.0139
195,Blenniidae,Blenniidae,NA,Family,TL,fb-21.04,fam,2.979088333,0.013838333
143,Arnoglossus,Bothidae,Arnoglossus,Genus,TL,fb-21.04,gen,3.0634,0.013815
285,Pagellus bogaraveo,Sparidae,Pagellus,Species,TL,fb-21.04,spe,3.027590909,0.013808182
74,Zeugopterus norvegicus,Scophthalmidae,Phrynorhombus,Species,TL,fb-21.04,fam,3.079314085,0.013797465
409,Pontinus kuhlii,Scorpaenidae,Pontinus,Species,TL,fb-21.04,spe,3.0304,0.013784
371,Lepidotrigla,Triglidae,Lepidotrigla,Genus,TL,fb-21.04,gen,3.002157143,0.013782857
266,Lithognathus mormyrus,Sparidae,Lithognathus,Species,TL,fb-21.04,spe,3.002911111,0.013664444
96,Liparis,Liparidae,Liparis,Genus,TL,fb-21.04,gen,3.07536,0.01364
434,Chiasmodon,Chiasmodontidae,Chiasmodon,Genus,TL,fb-21.04,fam,2.898,0.0136
292,Hexanchus griseus,Hexanchidae,Hexanchus,Species,TL,fb-21.04,spe,3,0.0135
144,Dicentrarchus labrax,Moronidae,Dicentrarchus,Species,TL,fb-21.04,spe,2.992927778,0.013470556
276,Arnoglossus thori,Bothidae,Arnoglossus,Species,TL,fb-21.04,spe,2.9863,0.013457143
81,Zeugopterus regius,Scophthalmidae,Zeugopterus,Species,TL,fb-21.04,gen,3.035,0.013433333
150,Zeugopterus,Scophthalmidae,Zeugopterus,Genus,TL,fb-21.04,gen,3.035,0.013433333
304,Diaphus,Myctophidae,Diaphus,Genus,TL,fb-21.04,gen,2.945666667,0.013408333
355,Epigonus telescopus,Epigonidae,Epigonus,Species,TL,fb-21.04,spe,3,0.01336
112,Helicolenus dactylopterus,Sebastidae,Helicolenus,Species,TL,fb-21.04,spe,3.087594737,0.01334
306,Argyropelecus,Sternoptychidae,Argyropelecus,Genus,TL,fb-21.04,gen,3.098333333,0.01322
474,Argyropelecus gigas,Sternoptychidae,Argyropelecus,Species,TL,fb-21.04,gen,3.098333333,0.01322
156,Labrus bergylta,Labridae,Labrus,Species,TL,fb-21.04,spe,3.0575,0.0132
455,Zeugopterus norvegicus,Scophthalmidae,Zeugopterus,Species,TL,fb-21.04,spe,2.9795,0.0132
243,Symphodus bailloni,Labridae,Symphodus,Species,TL,fb-21.04,spe,3.075666667,0.01311
310,Serranus scriba,Serranidae,Serranus,Species,TL,fb-21.04,spe,3.051746154,0.013074615
28,Agonus cataphractus,Agonidae,Agonus,Species,TL,fb-21.04,spe,2.7953,0.01302
307,Centroscyllium fabricii,Etmopteridae,Centroscyllium,Species,TL,fb-21.04,gen,2.8685,0.013
389,Microchirus boscanion,Soleidae,Microchirus,Species,TL,fb-21.04,spe,3.0155,0.01294
80,Bothidae,Bothidae,NA,Family,TL,fb-21.04,fam,3.080323214,0.012866786
182,Chelidonichthys lastoviza,Triglidae,Chelidonichthys,Species,TL,fb-21.04,spe,2.9918,0.012852667
224,Labrus merula,Labridae,Labrus,Species,TL,fb-21.04,spe,3.055375,0.0126425
70,Gobiidae,Gobiidae,NA,Family,TL,fb-21.04,fam,3.012300353,0.012588657
126,Crystallogobius linearis,Gobiidae,Crystallogobius,Species,TL,fb-21.04,fam,3.012300353,0.012588657
256,Pomatoschistus flavescens,Gobiidae,Gobiusculus,Species,TL,fb-21.04,fam,3.012300353,0.012588657
26,Platichthys flesus,Pleuronectidae,Platichthys,Species,TL,fb-21.04,spe,3.02758,0.0125744
512,Lesueurigobius suerii,Gobiidae,Lesueurigobius,Species,TL,fb-21.04,spe,2.747,0.01255
406,Auxis rochei,Scombridae,Auxis,Subspecies,TL,fb-21.04,spe,3.069,0.012533333
493,Auxis rochei,Scombridae,Auxis,Species,TL,fb-21.04,spe,3.069,0.012533333
158,Dicentrarchus,Moronidae,Dicentrarchus,Genus,TL,fb-21.04,gen,3.025035,0.0124875
316,Scymnodon ringens,Somniosidae,Scymnodon,Species,TL,fb-21.04,fam,3.182953333,0.01247
188,Trigla,Triglidae,Trigla,Genus,TL,fb-21.04,gen,2.96925,0.012469
213,Trigla lyra,Triglidae,Trigla,Species,TL,fb-21.04,spe,2.96925,0.012469
472,Urophycis chuss,Phycidae,Urophycis,Species,TL,fb-21.04,spe,3,0.01245
194,Gobiesocidae,Gobiesocidae,NA,Family,TL,fb-21.04,fam,3.0445,0.0124225
430,Apletodon dentatus,Gobiesocidae,Apletodon,Species,TL,fb-21.04,fam,3.0445,0.0124225
425,Schedophilus medusophagus,Centrolophidae,Schedophilus,Species,TL,fb-21.04,spe,3,0.01232
172,Ctenolabrus rupestris,Labridae,Ctenolabrus,Species,TL,fb-21.04,spe,3,0.0123
342,Trachyscorpia echinata,Sebastidae,Trachyscorpia,Species,TL,fb-21.04,gen,3.12925,0.01225
393,Trachyscorpia cristulata,Sebastidae,Trachyscorpia,Subspecies,TL,fb-21.04,gen,3.12925,0.01225
282,Macrourus berglax,Macrouridae,Macrourus,Species,TL,fb-21.04,spe,2.9385,0.01223
527,Plectorhinchus mediterraneus,Haemulidae,Plectorhinchus,Species,TL,fb-21.04,spe,3.135,0.01215
137,Soleidae,Soleidae,NA,Family,TL,fb-21.04,fam,3.060504651,0.012136163
267,Bathysolea profundicola,Soleidae,Bathysolea,Species,TL,fb-21.04,fam,3.060504651,0.012136163
23,Pollachius pollachius,Gadidae,Pollachius,Species,TL,fb-21.04,spe,2.998833333,0.01177
302,Dalatias licha,Dalatiidae,Dalatias,Species,TL,fb-21.04,spe,3,0.0117
149,Microchirus,Soleidae,Microchirus,Genus,TL,fb-21.04,gen,3.070415789,0.011673158
318,Cyttopsis rosea,Parazenidae,Cyttopsis,Species,TL,fb-21.04,spe,3.044,0.01167
215,Macroramphosus scolopax,Centriscidae,Macroramphosus,Species,TL,fb-21.04,spe,2.807818182,0.011597273
369,Macroramphosus,Centriscidae,Macroramphosus,Genus,TL,fb-21.04,gen,2.807818182,0.011597273
210,Clupeidae,Clupeidae,NA,Family,TL,fb-21.04,fam,3.046712139,0.011593389
30,Triglidae,Triglidae,NA,Family,TL,fb-21.04,fam,3.026216,0.01159096
211,Trigloporus,Triglidae,Trigloporus,Genus,TL,fb-21.04,fam,3.026216,0.01159096
107,Gobius auratus,Gobiidae,Gobius,Species,TL,fb-21.04,gen,3.038620833,0.01159
124,Gobius,Gobiidae,Gobius,Genus,TL,fb-21.04,gen,3.038620833,0.01159
159,Chelon auratus,Mugilidae,Chelon,Species,TL,fb-21.04,spe,2.991705882,0.011574706
388,Spicara maena,Sparidae,Spicara,Species,TL,fb-21.04,spe,3.100524242,0.011552121
346,Myoxocephalus scorpioides,Cottidae,Myoxocephalus,Species,TL,fb-21.04,gen,3.15665,0.011545833
27,Echiichthys vipera,Trachinidae,Echiichthys,Species,TL,fb-21.04,spe,2.9966,0.0115225
187,Echiichthys,Trachinidae,Echiichthys,Genus,TL,fb-21.04,gen,2.9966,0.0115225
463,Howella brodiei,Howellidae,Howella,Species,TL,fb-21.04,spe,3,0.0115
500,Epigonus,Epigonidae,Epigonus,Genus,TL,fb-21.04,gen,3.13175,0.0115
449,Melamphaes,Melamphaidae,Melamphaes,Genus,TL,fb-21.04,fam,3,0.01148
450,Poromitra capito,Melamphaidae,Poromitra,Species,TL,fb-21.04,gen,3,0.01148
481,Poromitra crassiceps,Melamphaidae,Poromitra,Species,TL,fb-21.04,spe,3,0.01148
