"taxa","family","genus","rank"
"Leucoraja lentiginosa","Rajidae","Leucoraja","Species"
"Dasyatis pastinaca","Dasyatidae","Dasyatis","Species"
"Hyperoplus","Ammodytidae","Hyperoplus","Genus"
"Lesueurigobius friesii","Gobiidae","Lesueurigobius","Species"
"Artediellus atlanticus","Cottidae","Artediellus","Species"
"Symphodus melops","Labridae","Symphodus","Species"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","Species"
"Salmo","Salmonidae","Salmo","Genus"
"Micrenophrys lilljeborgii","Cottidae","Micrenophrys","Species"
"Zoarcidae","Zoarcidae",NA,"Family"
"Somniosus microcephalus","Somniosidae","Somniosus","Species"
"Leptagonus decagonus","Agonidae","Leptagonus","Species"
"Acipenser sturio","Acipenseridae","Acipenser","Species"
"Thunnus thynnus","Scombridae","Thunnus","Species"
"Petromyzon","Petromyzontidae","Petromyzon","Genus"
"Atherina presbyter","Atherinidae","Atherina","Species"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","Species"
"Sparus aurata","Sparidae","Sparus","Species"
"Mullus barbatus","Mullidae","Mullus","Subspecies"
"Mugil cephalus","Mugilidae","Mugil","Species"
"Eutrigla","Triglidae","Eutrigla","Genus"
"Echiichthys","Trachinidae","Echiichthys","Genus"
"Trigla","Triglidae","Trigla","Genus"
"Chelidonichthys","Triglidae","Chelidonichthys","Genus"
"Dipturus oxyrinchus","Rajidae","Dipturus","Species"
"Zeidae","Zeidae",NA,"Family"
"Lycodes gracilis","Zoarcidae","Lycodes","Species"
"Arctozenus risso","Paralepididae","Arctozenus","Species"
"Gobiesocidae","Gobiesocidae",NA,"Family"
"Blenniidae","Blenniidae",NA,"Family"
"Gaidropsarus macrophthalmus","Lotidae","Gaidropsarus","Species"
"Bathyraja brachyurops","Arhynchobatidae","Bathyraja","Species"
"Lepidorhombus boscii","Scophthalmidae","Lepidorhombus","Species"
"Chelon","Mugilidae","Chelon","Genus"
"Brama brama","Bramidae","Brama","Species"
"Pomatoschistus lozanoi","Gobiidae","Pomatoschistus","Species"
"Ophidion barbatum","Ophidiidae","Ophidion","Species"
"Cottunculus microps","Psychrolutidae","Cottunculus","Species"
"Centrophorus granulosus","Centrophoridae","Centrophorus","Species"
"Centrolabrus exoletus","Labridae","Centrolabrus","Species"
"Diplecogaster","Gobiesocidae","Diplecogaster","Genus"
"Raja microocellata","Rajidae","Raja","Species"
"Gaidropsarus argentatus","Lotidae","Gaidropsarus","Species"
"Sarpa salpa","Sparidae","Sarpa","Species"
"Clupeidae","Clupeidae",NA,"Family"
"Trigloporus","Triglidae","Trigloporus","Genus"
"Triglops","Cottidae","Triglops","Genus"
"Trigla lyra","Triglidae","Trigla","Species"
"Buenia jeffreysii","Gobiidae","Buenia","Species"
"Macroramphosus scolopax","Centriscidae","Macroramphosus","Species"
"Pterycombus brama","Bramidae","Pterycombus","Species"
"Hippocampus hippocampus","Syngnathidae","Hippocampus","Species"
"Blennius ocellaris","Blenniidae","Blennius","Species"
"Icelus bicornis","Cottidae","Icelus","Species"
"Labrus mixtus","Labridae","Labrus","Species"
"Phycidae","Phycidae",NA,"Family"
"Pomatoschistus norvegicus","Gobiidae","Pomatoschistus","Species"
"Chirolophis ascanii","Stichaeidae","Chirolophis","Species"
"Labrus merula","Labridae","Labrus","Species"
"Coelorinchus caelorhincus","Macrouridae","Coelorinchus","Species"
"Anguilla","Anguillidae","Anguilla","Genus"
"Mullus","Mullidae","Mullus","Genus"
"Parablennius gattorugine","Blenniidae","Parablennius","Species"
"Trachipterus arcticus","Trachipteridae","Trachipterus","Species"
"Lamna nasus","Lamnidae","Lamna","Species"
"Nerophis lumbriciformis","Syngnathidae","Nerophis","Species"
"Lepadogaster lepadogaster","Gobiesocidae","Lepadogaster","Species"
"Sarda sarda","Scombridae","Sarda","Species"
"Scomber japonicus","Scombridae","Scomber","Species"
"Polyprion americanus","Polyprionidae","Polyprion","Species"
"Cetorhinus maximus","Cetorhinidae","Cetorhinus","Species"
"Malacocephalus laevis","Macrouridae","Malacocephalus","Species"
"Rajella fyllae","Rajidae","Rajella","Species"
"Gobius paganellus","Gobiidae","Gobius","Species"
"Atherina","Atherinidae","Atherina","Genus"
"Rajella lintea","Rajidae","Dipturus","Species"
"Liparidae","Liparidae",NA,"Family"
"Symphodus bailloni","Labridae","Symphodus","Species"
"Hippocampus","Syngnathidae","Hippocampus","Genus"
"Gobius gasteveni","Gobiidae","Gobius","Species"
"Labridae","Labridae",NA,"Family"
"Myoxocephalus quadricornis","Cottidae","Myoxocephalus","Species"
"Coregonus albula","Salmonidae","Coregonus","Species"
"Pungitius pungitius","Gasterosteidae","Pungitius","Species"
"Argyropelecus olfersii","Sternoptychidae","Argyropelecus","Species"
