haul_id_removed
Rémy-Martin -3-21-1995-08-11 -18:26:00
Gadus Atlantica -4-18-1981-01-31 -13:22:00
Gadus Atlantica -4-19-1981-01-31 -15:15:00
Gadus Atlantica -4-20-1981-01-31 -17:22:00
Gadus Atlantica -4-21-1981-01-31 -20:30:00
Gadus Atlantica -4-22-1981-01-31 -22:45:00
Gadus Atlantica -4-23-1981-02-01 -00:37:00
Gadus Atlantica -4-24-1981-02-01 -03:27:00
Gadus Atlantica -4-25-1981-02-01 -06:45:00
Gadus Atlantica -4-26-1981-02-01 -09:45:00
Gadus Atlantica -4-27-1981-02-01 -11:45:00
Gadus Atlantica -4-28-1981-02-01 -14:10:00
Gadus Atlantica -4-29-1981-02-01 -16:04:00
Gadus Atlantica -4-30-1981-02-01 -17:27:00
Gadus Atlantica -4-31-1981-02-01 -19:50:00
Gadus Atlantica -4-33-1981-02-02 -00:25:00
Gadus Atlantica -4-34-1981-02-02 -02:57:00
Gadus Atlantica -4-35-1981-02-02 -04:37:00
Gadus Atlantica -4-36-1981-02-02 -06:10:00
Gadus Atlantica -4-37-1981-02-02 -08:25:00
Gadus Atlantica -4-39-1981-02-02 -12:30:00
Gadus Atlantica -4-41-1981-02-02 -18:10:00
Gadus Atlantica -4-42-1981-02-02 -20:05:00
Gadus Atlantica -4-43-1981-02-02 -22:05:00
Gadus Atlantica -4-44-1981-02-02 -23:40:00
Gadus Atlantica -4-45-1981-02-03 -13:30:00
Gadus Atlantica -4-46-1981-02-03 -15:20:00
Gadus Atlantica -4-47-1981-02-03 -17:34:00
Gadus Atlantica -4-48-1981-02-03 -20:07:00
Gadus Atlantica -4-49-1981-02-03 -21:45:00
Gadus Atlantica -4-50-1981-02-03 -23:35:00
Gadus Atlantica -4-51-1981-02-04 -02:25:00
Gadus Atlantica -4-52-1981-02-04 -04:13:00
Gadus Atlantica -4-56-1981-02-04 -12:18:00
Gadus Atlantica -4-58-1981-02-04 -18:10:00
Gadus Atlantica -4-59-1981-02-04 -19:55:00
Gadus Atlantica -4-60-1981-02-04 -21:50:00
Gadus Atlantica -4-61-1981-02-04 -23:43:00
Gadus Atlantica -4-62-1981-02-05 -03:45:00
Gadus Atlantica -4-63-1981-02-05 -06:05:00
Gadus Atlantica -4-64-1981-02-05 -08:02:00
Gadus Atlantica -4-71-1981-02-06 -13:00:00
Gadus Atlantica -4-72-1981-02-06 -14:36:00
Gadus Atlantica -4-73-1981-02-06 -16:58:00
Gadus Atlantica -4-74-1981-02-06 -19:03:00
Gadus Atlantica -4-75-1981-02-06 -20:39:00
Gadus Atlantica -4-77-1981-02-07 -02:35:00
Gadus Atlantica -4-85-1981-02-07 -18:37:00
Gadus Atlantica -4-86-1981-02-07 -20:25:00
Gadus Atlantica -4-87-1981-02-07 -23:12:00
Gadus Atlantica -4-88-1981-02-08 -05:37:00
Gadus Atlantica -4-89-1981-02-08 -07:50:00
Gadus Atlantica -4-91-1981-02-08 -13:35:00
Gadus Atlantica -4-94-1981-02-08 -21:03:00
Gadus Atlantica -4-95-1981-02-08 -22:35:00
Gadus Atlantica -4-96-1981-02-09 -00:31:00
Gadus Atlantica -4-97-1981-02-09 -03:00:00
Gadus Atlantica -4-98-1981-02-09 -04:22:00
Gadus Atlantica -4-100-1981-02-09 -09:00:00
Gadus Atlantica -4-106-1981-02-09 -22:35:00
Gadus Atlantica -4-107-1981-02-10 -00:12:00
Gadus Atlantica -4-110-1981-02-10 -05:02:00
Gadus Atlantica -4-113-1981-02-10 -13:43:00
Gadus Atlantica -4-114-1981-02-10 -15:50:00
Gadus Atlantica -4-119-1981-02-11 -11:37:00
Gadus Atlantica -4-120-1981-02-11 -14:07:00
Gadus Atlantica -4-121-1981-02-11 -16:15:00
Gadus Atlantica -4-122-1981-02-11 -18:20:00
Gadus Atlantica -4-123-1981-02-11 -21:50:00
Gadus Atlantica -4-124-1981-02-12 -23:50:00
Gadus Atlantica -4-125-1981-02-12 -01:40:00
Gadus Atlantica -4-126-1981-02-12 -03:54:00
Gadus Atlantica -4-127-1981-02-12 -05:09:00
Gadus Atlantica -4-128-1981-02-12 -08:12:00
